sport,F,M
Aeronautics,0.0,1.0
Alpine Skiing,3398.0,5431.0
Alpinism,1.0,24.0
Archery,1015.0,1319.0
Art Competitions,377.0,3201.0
Athletics,11666.0,26958.0
Badminton,740.0,717.0
Baseball,0.0,894.0
Basketball,1256.0,3280.0
Basque Pelota,0.0,2.0
Beach Volleyball,276.0,288.0
Biathlon,1863.0,3030.0
Bobsleigh,143.0,2915.0
Boxing,72.0,5975.0
Canoeing,1380.0,4791.0
Cricket,0.0,24.0
Croquet,6.0,13.0
Cross Country Skiing,3385.0,5748.0
Curling,222.0,241.0
Cycling,1394.0,9465.0
Diving,1210.0,1632.0
Equestrianism,1246.0,5098.0
Fencing,2000.0,8735.0
Figure Skating,1172.0,1126.0
Football,1012.0,5733.0
Freestyle Skiing,433.0,504.0
Golf,70.0,177.0
Gymnastics,9129.0,17578.0
Handball,1401.0,2264.0
Hockey,1459.0,3958.0
Ice Hockey,754.0,4762.0
Jeu De Paume,0.0,11.0
Judo,1093.0,2708.0
Lacrosse,0.0,60.0
Luge,377.0,1102.0
Military Ski Patrol,0.0,24.0
Modern Pentathlon,164.0,1513.0
Motorboating,1.0,16.0
Nordic Combined,0.0,1344.0
Polo,0.0,95.0
Racquets,0.0,12.0
Rhythmic Gymnastics,658.0,0.0
Roque,0.0,4.0
Rowing,2193.0,8402.0
Rugby,0.0,162.0
Rugby Sevens,148.0,151.0
Sailing,926.0,5660.0
Shooting,1724.0,9724.0
Short Track Speed Skating,761.0,773.0
Skeleton,66.0,133.0
Ski Jumping,30.0,2371.0
Snowboarding,416.0,520.0
Softball,478.0,0.0
Speed Skating,2081.0,3532.0
Swimming,9850.0,13345.0
Synchronized Swimming,909.0,0.0
Table Tennis,953.0,1002.0
Taekwondo,299.0,307.0
Tennis,1178.0,1684.0
Trampolining,76.0,76.0
Triathlon,263.0,266.0
Tug-Of-War,0.0,170.0
Volleyball,1543.0,1861.0
Water Polo,488.0,3358.0
Weightlifting,463.0,3474.0
Wrestling,304.0,6850.0
